,lng,lat
0,-88.0,36.0
1,-88.0,36.0
2,-7.5,27.5
3,-96.5,34.400002
4,111.045021,26.201868
5,106.366669,25.733334
6,4.833056,50.324444
7,6.183333,50.733334
8,57.099998,33.666668
9,4.766667,50.299999
10,4.833056,50.324444
11,16.633333,49.200001
12,-4.05,51.083332
13,-4.05,51.083332
14,-4.05,51.083332
15,-4.05,51.083332
16,-4.05,51.083332
17,-4.05,51.083332
18,-4.05,51.083332
19,12.983333,46.666668
20,12.983333,46.666668
21,13.0,47.0
22,13.0,47.0
23,106.383331,25.766666
24,106.383331,25.766666
25,16.633333,49.200001
26,7.833333,51.400002
27,7.833333,51.400002
28,7.833333,51.400002
29,7.833333,51.400002
30,7.833333,51.400002
31,7.833333,51.400002
32,4.5,44.0
33,57.099998,33.666668
34,20.4,50.833332
35,7.833333,51.400002
36,7.833333,51.400002
37,7.833333,51.400002
38,7.81,51.395
39,12.983333,46.666668
40,13.0,47.0
41,7.067,51.266998
42,7.866667,51.333332
43,7.866667,51.333332
44,7.617,51.367001
45,8.367,51.5
46,12.983333,46.666668
47,13.0,47.0
48,7.81,51.395
49,7.833333,51.400002
50,7.833333,51.400002
51,7.833333,51.400002
52,7.833333,51.400002
53,7.833333,51.400002
54,7.833333,51.400002
55,7.866667,51.333332
56,7.866667,51.333332
57,7.866667,51.333332
58,7.81,51.395
59,7.833333,51.400002
60,7.833333,51.400002
61,7.833333,51.400002
62,106.366669,25.733334
63,57.099998,33.666668
64,12.983333,46.666668
65,13.0,47.0
66,7.866667,51.333332
67,7.866667,51.333332
68,8.5,51.266666
69,12.983333,46.666668
70,12.983333,46.666668
71,12.983333,46.666668
72,13.0,47.0
73,13.0,47.0
74,13.0,47.0
75,7.866667,51.333332
76,7.866667,51.333332
77,7.866667,51.333332
78,7.866667,51.333332
79,7.866667,51.333332
80,7.81,51.395
81,7.866667,51.333332
82,7.833333,51.400002
83,12.983333,46.666668
84,12.983333,46.666668
85,12.983333,46.666668
86,12.983333,46.666668
87,12.983333,46.666668
88,12.983333,46.666668
89,12.983333,46.666668
90,13.0,47.0
91,13.0,47.0
92,13.0,47.0
93,13.0,47.0
94,13.0,47.0
95,7.866667,51.333332
96,7.866667,51.333332
97,7.81,51.395
98,7.833333,51.400002
99,7.833333,51.400002
100,7.833333,51.400002
101,7.833333,51.400002
102,7.833333,51.400002
103,7.833333,51.400002
104,4.5,44.0
105,7.81,51.395
106,12.983333,46.666668
107,13.0,47.0
108,111.045021,26.201868
109,111.045021,26.201868
110,111.045021,26.201868
111,16.633333,49.200001
112,106.383331,25.766666
113,106.383331,25.766666
114,106.383331,25.766666
115,106.383331,25.766666
116,106.383331,25.766666
117,106.383331,25.766666
118,106.383331,25.766666
119,106.383331,25.766666
120,106.383331,25.766666
121,106.383331,25.766666
122,106.383331,25.766666
123,16.633333,49.200001
124,-3.818889,31.243055
125,-4.220833,31.432777
126,20.4,50.833332
127,20.4,50.833332
128,106.383331,25.766666
129,106.383331,25.766666
130,106.383331,25.766666
131,106.383331,25.766666
132,106.383331,25.766666
133,106.383331,25.766666
134,106.383331,25.766666
135,106.383331,25.766666
136,4.5,44.0
137,57.099998,33.666668
138,111.045021,26.201868
139,-91.195,39.341946
140,-91.051392,39.448891
141,-91.32,39.490002
142,-91.52861,39.508057
143,-91.734444,39.65361
144,-91.734444,39.65361
145,-91.633057,39.691666
146,-91.633057,39.691666
147,-91.633057,39.691666
148,-91.523056,39.794167
149,111.045021,26.201868
150,16.633333,49.200001
151,11.55,50.259998
152,7.866667,51.333332
153,7.81,51.395
154,106.366669,25.733334
155,7.866667,51.333332
156,7.866667,51.333332
157,7.866667,51.333332
158,7.866667,51.333332
159,16.633333,49.200001
160,111.045021,26.201868
161,111.045021,26.201868
162,111.045021,26.201868
163,126.083336,-18.733334
164,8.345,50.735001
165,8.345,50.735001
166,8.345,50.735001
167,8.345,50.735001
168,11.38,50.634998
169,8.345,50.735001
170,8.345,50.735001
171,-2.103056,29.960556
172,3.091667,43.472221
173,-2.103056,29.960556
174,20.566111,50.796112
175,11.38,50.634998
176,126.082222,-18.73361
177,3.091667,43.472221
178,57.099998,33.666668
179,125.949997,-18.508333
180,126.082222,-18.73361
181,125.949997,-18.508333
182,57.099998,33.666668
183,20.4,50.833332
184,57.099998,33.666668
185,8.333333,50.733334
186,7.05,51.333332
187,7.05,51.333332
188,7.05,51.333332
189,7.05,51.333332
190,7.05,51.333332
191,7.05,51.333332
192,3.05,43.433334
193,85.98333,46.583332
194,22.583332,51.083332
195,22.583332,51.083332
196,99.883331,6.45
197,7.983,51.299999
