accepted_name,max_ma,min_ma,ref_author,ref_pubyr,phylum,class,order,family,genus,abund_value,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,formation,stratcomments,environment,collectors,taxonomy_comments,primary_reference
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site D,,,UK,Pilton Shales,"Thought to be uppermost Devonian (Wocklumeria). Pilton A, probably A1.",marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site E,,,UK,Pilton Shales,Thought to be uppermost Devonian (Wocklumeria). Pilton A1 or A2.,marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site F,,,UK,Pilton Shales,Thought to be uppermost Devonian (Wocklumeria). Pilton A1 or A2.,marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site G,,,UK,Pilton Shales,Thought to be uppermost Devonian (Wocklumeria). Pilton A3.,marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site H,,,UK,Pilton Shales,Thought to be uppermost Devonian (Wocklumeria). Pilton A3.,marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops (Omegops) accipitrinus,364.7,360.7,Edmonds et al.,1985,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops (Omegops),,-4.050000,51.083332,,Pilton Shales Site L,,,UK,Pilton Shales,Thought to be uppermost Devonian (Wocklumeria). Pilton A.,marine indet.,,,"E. A. Edmonds, A. Whittaker, and B. J. Williams. 1985. Geology of the country around Ilfracombe and Barnstaple (Memoirs of the British Geological Survey for 1:50000 sheets 277 and 293, new series)"
Phacops granulatus,364.7,360.7,Feist,1992,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,12.983333,46.666668,Phacops (Phacops) granulatus,"GrÃ¼ne Schneid, Karnische Alpen, bed 6A",38608,,AT,,latest Famennian,offshore,,,"R. Feist. 1992. Trilobiten aus dem Devon/Karbon-Grenzprofil an der GrÃ¼nen Schneid (Zentrale Karnische Alpen, Ã–sterreich). Jahrbuch der Geologischen Bundesanstalt 135(1):21-47"
Phacops granulatus,364.7,360.7,Feist,1992,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,12.983333,46.666668,Phacops (Phacops) granulatus,"GrÃ¼ne Schneid, Karnische Alpen, bed 9",38596,,AT,Pal Grande,latest Famennian,offshore,,,"R. Feist. 1992. Trilobiten aus dem Devon/Karbon-Grenzprofil an der GrÃ¼nen Schneid (Zentrale Karnische Alpen, Ã–sterreich). Jahrbuch der Geologischen Bundesanstalt 135(1):21-47"
Phacops granulatus,364.7,360.7,SchÃ¶nlaub et al.,1992,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,13.000000,47.000000,,Gruene Schneid Bed 9,,,AT,Pal Limestone,"Kaiser, Kumpan & Rasser (2020",,,,
Phacops granulatus,364.7,360.7,SchÃ¶nlaub et al.,1992,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,13.000000,47.000000,,"Gruene Schneid Bed 6 (praesulcata Zone) (6a,6b1,6b2,6c)",,,AT,Pal Limestone,,marine indet.,,,"H.P. SchÃ¶nlaub, M. Attrep, and K. Boeckelmann, R. Dreesen, R. Feist, A. Feininger, G. Hahn, P. Klein, D. Korn, R. Kratz, M. Magaritz, CJ Orth, J.-M. Schramm. 1992. The Devonian/Carboniferous Boundary in the Carnic Alps (Austria) - A Multidisciplinary Approach. Jahrbuch der Geologischen Bundesanstalt 135(1):57-98"
